EST_STORECAP_MIN,EST_STORECAP_MEAN,EST_STORECAP_MAX,CAP_EST_METHOD,MIN_EST_STORE_CAP_GAS,MEAN_EST_STORE_CAP_GAS,MAX_EST_STORE_CAP_GAS,MIN_EST_STORE_CAP_OIL,MEAN_EST_STORE_CAP_OIL,MAX_EST_STORE_CAP_OIL,MIN_CALC_STORE_CAP_GAS,MEAN_CALC_STORE_CAP_GAS,MAX_CALC_STORE_CAP_GAS,MIN_CALC_STORE_CAP_OIL,MEAN_CALC_STORE_CAP_OIL,MAX_CALC_STORE_CAP_OIL,STORE_CAP_MIN,STORE_CAP_MEAN,STORE_CAP_MAX,CAP_CAL_METHOD,EST_CAP_ENT_PRESS,OBJECTID,STORAGE_UNIT_ID,TRAP_ID,TRAP_NAME,ASSESS_UNIT_TYPE,PERIOD_MIN,COUNTRY
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,78,FR_S_20121010172717936,FR_T_20121011192001754,Dommartin-Lettrée,Hydrocarbon Daughter Unit,,France
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,79,FR_S_20121010172717936,FR_T_20121011192029714,Grandville,Hydrocarbon Daughter Unit,,France
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,80,FR_S_20121010172717936,FR_T_20121011192057051,Grandville est,Hydrocarbon Daughter Unit,,France
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,81,FR_S_20121010172717936,FR_T_20121011192328193,La Croix blanche,Hydrocarbon Daughter Unit,,France
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,82,FR_S_20121010172717936,FR_T_20121011192446197,La Vignotte,Hydrocarbon Daughter Unit,,France
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,83,FR_S_20121010172717936,FR_T_20121011192544160,Malnoue,Hydrocarbon Daughter Unit,,France
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,84,FR_S_20121010172717936,FR_T_20121011192609929,Pézarches,Hydrocarbon Daughter Unit,,France
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,85,FR_S_20121010172717936,FR_T_20121011192649195,Sivry,Hydrocarbon Daughter Unit,,France
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,86,FR_S_20121010172717936,FR_T_20121011192717539,Soudron,Hydrocarbon Daughter Unit,,France
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,87,FR_S_20121010172717936,FR_T_20121011192748693,St Germain,Hydrocarbon Daughter Unit,,France
